                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.49034,                 1.0989,                0.87087,                0.89623,                      1,                  0.995,                0.92773,                0.44257,                 1.8572,                0.78845,             0.00042092,             0.00042092,             0.00042092
                     52,                0.54518,                 0.9994,                0.90481,                0.89623,                      1,                  0.995,                0.92773,                0.44257,                 1.8572,                0.78845,             0.00042092,             0.00042092,             0.00042092
                     53,                0.47075,                 1.3997,                0.91388,                0.89623,                      1,                  0.995,                0.92773,                0.44257,                 1.8572,                0.78845,             0.00042059,             0.00042059,             0.00042059
                     54,                0.46671,                 1.2147,                0.88002,                0.93494,                      1,                  0.995,                0.92573,                0.43646,                 1.6639,                0.77905,             0.00041993,             0.00041993,             0.00041993
                     55,                0.59993,                 1.0314,                0.99597,                0.93494,                      1,                  0.995,                0.92573,                0.43646,                 1.6639,                0.77905,             0.00041894,             0.00041894,             0.00041894
                     56,                0.50697,                 1.2141,                0.89799,                0.93494,                      1,                  0.995,                0.92573,                0.43646,                 1.6639,                0.77905,             0.00041763,             0.00041763,             0.00041763
                     57,                0.56103,                 1.1265,                0.89738,                0.95522,                      1,                  0.995,                0.93772,                0.40081,                 1.6162,                0.75467,             0.00041598,             0.00041598,             0.00041598
                     58,                0.67238,                 1.1378,                0.97591,                0.95522,                      1,                  0.995,                0.93772,                0.40081,                 1.6162,                0.75467,               0.000414,               0.000414,               0.000414
                     59,                0.47653,                 1.0255,                0.91853,                0.95522,                      1,                  0.995,                0.93772,                0.40081,                 1.6162,                0.75467,             0.00041169,             0.00041169,             0.00041169
                     60,                0.53791,                0.99523,                0.89853,                0.95538,                      1,                  0.995,                0.93772,                0.40422,                 1.7178,                0.75856,             0.00040905,             0.00040905,             0.00040905
                     61,                0.50464,                0.94323,                0.86553,                0.95538,                      1,                  0.995,                0.93772,                0.40422,                 1.7178,                0.75856,             0.00040608,             0.00040608,             0.00040608
                     62,                0.37458,                 1.0837,                0.77644,                0.95538,                      1,                  0.995,                0.93772,                0.40422,                 1.7178,                0.75856,             0.00040278,             0.00040278,             0.00040278
                     63,                0.47458,                 1.1293,                0.93492,                0.97926,                      1,                  0.995,                0.91274,                 0.4446,                 1.8075,                0.77865,             0.00039915,             0.00039915,             0.00039915
                     64,                0.53252,                  1.353,                0.95693,                0.97926,                      1,                  0.995,                0.91274,                 0.4446,                 1.8075,                0.77865,             0.00039519,             0.00039519,             0.00039519
                     65,                0.41671,                 1.0549,                0.90434,                0.97926,                      1,                  0.995,                0.91274,                 0.4446,                 1.8075,                0.77865,              0.0003909,              0.0003909,              0.0003909
                     66,                0.55283,                 1.1097,                0.91875,                 0.9819,                      1,                  0.995,                0.89786,                0.44968,                 1.8131,                0.78989,             0.00038629,             0.00038629,             0.00038629
                     67,                0.55973,                 1.0869,                0.95458,                 0.9819,                      1,                  0.995,                0.89786,                0.44968,                 1.8131,                0.78989,             0.00038134,             0.00038134,             0.00038134
                     68,                0.46767,                 0.9392,                0.87243,                 0.9819,                      1,                  0.995,                0.89786,                0.44968,                 1.8131,                0.78989,             0.00037606,             0.00037606,             0.00037606
